,0,1,2,3
175,CCCLXXXXIIII_355,when,1219-10-20,fol_321r
176,CCCCXXXXVI_407,when,1220-03-20,fol_349v
177,CCCCLXXV_437,when,1221-08-01,fol_363r
178,CCCCLXXIIII_436,when,1221-08-02,none
179,CCCCLXXVII_439,when,1221-08-02,fol_364r
180,CCCCLXXIII_435,when,1222-01-25,fol_362v
181,CCCCLXXXIII_435,when,1222-01-25,fol_362v
182,C09,when,1222-01-28,fol_035r
183,CIV_121,when,1222-05-15,fol_220r
184,CCCLXXXV_346,when,1223-04-15,fol_318v
185,CXLVIIII_167,when,1224-07-14,fol_243r
186,CCCCXXX_391,when,1224-09-21,fol_338v
187,CCXLVIII_209,when,1225-03-06,fol_263r
188,CCCCLXVII_429,when,1225-09-16,fol_359v
189,C07,when,1225-10-16,none
190,C08,when,1225-10-16,none
191,CCCLXXXXIII_354,when,1226-01-31,none
192,CCC_262,when,1226-12-13,fol_283v
193,CCCCXIII_374,when,1227-03-14,fol_331r
194,XI_40,when,1228-02-26,none
195,DII_463,when,1228-05-17,fol_376r
196,LXXXXVII_114,when,1228-09-24,fol_210v
197,IX_38,when,1228-12-11,none
198,CCCCLXXVI_438,when,1229-05-20,fol_363v
199,CCXXXIIII_195,when,1229-05-21,none
200,CCCCLXXVIII_440,when,1229-05-22,none
201,CCXXXVII_198,when,1229-06-13,fol_258r
202,LXVII_94,when,1229-06-24,fol_197r
203,CCCCXL_401,when,1230-04-30,fol_345v
204,CCCXVI_278,when,1230-06-01,fol_292r
205,CCCCXXXVII_398,when,1230-06-20,fol_341v
206,CCCCXXXXII_403,when,1230-07-21,fol_347v
207,XXXXIIII_72,when,1230-09-03,fol_134r
208,XXXXVII_75,when,1230-09-03,fol_138r
209,CCCLI_313,when,1230-10-13,fol_307v
210,CXXXIIII_151,when,1230-11-02,fol_234r
211,DXII_473,when,1231-03-15,fol_380v
212,XXXV_64,when,1231-03-30,fol_119v
213,DX_471,when,1231-04-01,fol_380r
214,CCXLIII_204,when,1231-04-19,fol_260r
215,CCLII_213,when,1231-05-11,fol_264v
216,LXXVIII_95,when,1231-08-19,fol_198r
217,CCLVIIII_220,when,1231-09-05,fol_267v
218,CCL_211,when,1231-09-05,fol_263v
219,CXXXVI_153,when,1231-10-31,fol_235r
220,CCCXVIIII_281,when,1231-12-14,fol_293r
221,CCCLXXVII_339,when,1232-06-06,fol_316r
222,CXIIII_131,when,1232-08-14,fol_224v
223,XLVIII_76,when,1232-08-15,fol_139r
224,XXXXVI_74,when,1232-08-15,fol_137r
225,CXVII_134,when,1232-08-22,fol_226r
226,CXVIII_135,when,1232-08-25,fol_226v
227,CCLXXVIII_240,when,1232-08-31,none
228,CCLXXVII_239,when,1232-08-31,fol_274r
229,CCLIIII_215,when,1232-09-10,fol_265r
230,CCLIII_214,when,1232-09-10,none
231,CV_122,when,1232-09-13,fol_220v
232,CXLV_163,when,1232-09-29,fol_241v
233,CVIIII_126,when,1232-10-24,fol_222v
234,CCCXLII_304,when,1232-10-26,fol_304r
235,CXXI_138,when,1232-11-15,none
236,CCCLVIII_320,when,1232-11-30,fol_309v
237,CCCLXXX_342,when,1233-01-12,none
238,CCCLXXXVIII_349,when,1233-01-31,fol_319v
239,CXXXVII_154,when,1233-02-08,fol_235v
240,CXXX_147,when,1233-02-08,fol_231v
241,CXVIIII_136,when,1233-02-12,fol_227r
242,CCCXXXIII_295,when,1233-04-06,fol_300r
243,CCCXXXII_294,when,1233-04-06,fol_299v
244,CCCXXXI_293,when,1233-04-06,fol_299r
245,CCCXXX_292,when,1233-04-06,none
246,CXLI_158,when,1233-06-26,fol_239r
247,CXI_128,when,1233-07-18,none
248,DXIII_474,when,1233-07-31,fol_381r
249,CCCXXXIIII_296,when,1234-01-22,fol_300v
250,CCCXXXVII_299,when,1234-01-22,fol_301v
251,CCCXXXVI_298,when,1234-01-22,fol_301r
252,CCCXXXV_297,when,1234-01-22,none
253,CCCV_267,when,1234-03-26,none
254,CCCLXXXXII_353,when,1234-05-22,fol_320v
255,CXLVIII_166,when,1234-08-24,fol_242v
256,CXXV_142,when,1234-11-26,none
257,CCCCLIII_414,when,1234-11-29,none
258,XXVI_55,from,1235-01-01,fol_078r
259,CCCCI_362,when,1235-01-07,fol_323v
260,CCCXI_273,when,1235-01-14,none
261,CCCLXXXXV_356,when,1235-02-02,fol_321v
262,CCCCXXXVIIII_400,when,1235-02-09,fol_344r
263,CCCLXXVIII_340,when,1235-02-18,none
264,CCCLVIIII_321,when,1235-02-19,fol_310r
265,CCCXXXVIIII_301,when,1235-02-19,fol_302v
266,CCCLXXXIIII_345,when,1235-02-24,none
267,CII_119,when,1235-03-23,fol_218r
268,CCCLXXXVII_348,when,1235-03-25,none
269,CXVI_133,when,1235-04-02,fol_225v
270,CCLXXXXIII_255,when,1235-04-09,fol_279v
271,CCLXXXV_247,when,1235-04-27,none
272,CCCXII_274,when,1235-05-22,fol_288r
273,CVII_124,when,1235-05-29,fol_221v
274,CX_127,when,1235-05-29,fol_223r
275,CCCCXLVIII_409,when,1235-05-31,fol_350v
276,CCCCXXXI_392,when,1235-06-03,none
277,CCCXLVIII_310,when,1235-06-09,none
278,CCCCLXVIII_430,when,1235-06-16,none
279,CCCLXXXXVIIII_360,when,1235-06-19,fol_323r
280,CCCCXXXXVII_408,when,1235-06-20,fol_350r
281,CVIII_125,when,1235-07-01,fol_222r
282,CCCCLXIIII_425,when,1235-07-15,none
283,CCCC_361,when,1235-08-15,none
284,CXXVIII_145,when,1235-08-17,fol_231r
285,CXXVII_144,when,1235-08-18,none
286,CXX_137,when,1235-08-18,fol_227v
287,CCLXXXXIIII_256,when,1235-12-05,none
288,CCLXXXXV_257,when,1235-12-07,fol_280r
289,CCCVI_268,when,1235-12-21,fol_285v
290,CCLXXXVIII_250,when,1236-01-19,fol_277r
291,CCCLXXXXVI_357,when,1236-02-28,none
292,CCCLXXXXVI_357xml,when,1236-02-28,none
293,CLI_169,when,1236-04-12,none
294,CCXVIII_179,when,1236-05-25,fol_250r
295,CCLXXXVI_248,when,1236-08-18,fol_276v
296,CCXVII_178,when,1236-08-19,none
297,CCCCLV_416,when,1236-08-26,fol_354r
298,CXII_129,when,1236-08-26,fol_223v
299,LXXXIIII_101,when,1236-10-25,fol_202r
300,CXLVII_165,when,1237-01-18,none
301,CCCLXXVIIII_341,when,1237-01-26,fol_316v
302,CCLXXXVII_249,when,1237-01-26,none
303,CCCCXXXXIII_404,when,1237-01-30,fol_348r
304,CCLXXXXVIII_260,when,1237-03,fol_282r
305,DLVbis_518,when,1237-03-05,fol_408r
306,CXIII_130,when,1237-03-22,fol_224r
307,DXLIIIIbis_506,when,1237-06-12,none
308,DXLIIII_505,when,1237-06-12,fol_402r
309,DXLIII_504,when,1237-06-12,none
310,CCCCLXIII_424,when,1237-08-01,fol_358r
311,LXXXVI_103,when,1237-08-22,none
312,CCCCXLVIIII_410,when,1237-12-22,fol_352r
313,DLII_514,when,1238-02-06,fol_404r
314,CXXXV_152,when,1238-05-04,fol_234v
315,LXXXIII_100,when,1238-06-30,none
316,DLV_517,from,1238-12-18,fol_406v
